tipo,pregunta,imagen,opcion1,opcion2,opcion3,opcion4,opcion5,opcion6,correcta
parrafo,"Explica qué es un fusible dentro de una fuente de alimentación y cuál es su función. Describe paso a paso cómo se realiza una prueba de continuidad de fusible con un multímetro, indicando en qué configuración debe estar el instrumento, en qué estado debe encontrarse el fusible, y qué significa un resultado de continuidad y de no continuidad.",,,,,,,,
parrafo,"Explica el procedimiento correcto para medir con un multímetro las tensiones de una fuente ATX mientras está encendida y conectada a la placa madre (bajo carga). Indica cómo se debe configurar el multímetro, dónde colocar cada punta de prueba para medir las líneas de +12V, +5V y +3,3V, y qué precauciones de seguridad se deben tomar durante la medición.",,,,,,,,
parrafo,"Describe paso a paso el procedimiento para realizar la 'prueba del clip' (paperclip test) sobre una fuente ATX desconectada de la placa madre. Indica qué pines del conector de 24 pines se deben puentear, qué resultado se espera si la fuente enciende correctamente, y qué limitaciones tiene esta prueba (qué NO permite garantizar sobre el funcionamiento de la fuente).",,,,,,,,
parrafo,"ESCENARIO: Una PC no enciende: no hay leds, ni ventiladores, ni sonidos, aunque el cable de alimentación está correctamente conectado a la corriente eléctrica. Describe el procedimiento de diagnóstico que seguirías paso a paso, indicando qué componentes revisarías y en qué orden (toma/cable de alimentación, fusible, fuente, conector ATX, placa madre), y qué prueba realizarías en cada paso hasta aislar la falla.",,,,,,,,
parrafo,"ESCENARIO: Una PC enciende (se escuchan los ventiladores y se ven leds encendidos) pero no muestra imagen en el monitor y se escucha un patrón de beeps. Describe el procedimiento que seguirías para diagnosticar la falla, indicando cómo diferenciarías entre un problema de memoria RAM, de placa de video dedicada o de la placa madre, y qué pasos de verificación realizarías en cada caso.",,,,,,,,
parrafo,"ESCENARIO: Una PC enciende y completa el POST con normalidad (se ve el logo del fabricante) pero luego no continúa cargando el sistema operativo, mostrando un mensaje de error en pantalla. Describe el procedimiento de diagnóstico que seguirías, indicando qué verificaciones realizarías sobre el disco y sus conexiones, sobre el MBR/tabla de particiones, y sobre el bootloader, hasta determinar el origen del problema.",,,,,,,,
opcion_unica,¿Cuál es la función principal del proceso POST (Power On Self Test)?,,Cargar el sistema operativo desde el disco,Verificar el funcionamiento básico del hardware antes de iniciar el sistema operativo,Actualizar los drivers de los dispositivos conectados,Realizar copias de seguridad automáticas,,,2
opcion_unica,"Durante el POST, ¿cuál de los siguientes componentes es fundamental para que el sistema pueda continuar con el proceso de arranque?",,Impresora,Teclado,Procesador,Disco rígido,,,3
opcion_unica,"Si la batería CMOS de la placa madre está agotada, ¿cuál de los siguientes síntomas es más probable que ocurra?",,La PC no enciende bajo ninguna circunstancia,La fecha y hora se reinician y puede aparecer un mensaje de configuración de BIOS al arrancar,La fuente de alimentación se quema,El disco rígido deja de ser reconocido de forma permanente,,,2
opcion_unica,"Según la norma ATX, ¿cuál es el margen de tolerancia habitual permitido para la línea de +12 V?",,±1%,±5%,±10%,±20%,,,2
opcion_unica,"En un conector ATX de 24 pines, ¿qué color de cable corresponde habitualmente a la línea de +3,3V?",,Amarillo,Rojo,Naranja,Morado,,,3
opcion_unica,¿En qué ubicación física del disco se encuentra el MBR (Master Boot Record)?,,En el último sector del disco,En el primer sector del disco (sector 0),Distribuido en varios sectores intermedios,Dentro de la memoria RAM únicamente,,,2
opcion_unica,¿Cuál de los siguientes es un mensaje típico que puede aparecer cuando el MBR de un disco está dañado o corrupto?,,'Windows Update completado con éxito','Invalid partition table' o 'Missing operating system','Nueva actualización de drivers disponible','Batería CMOS al 100%',,,2
opcion_unica,"¿En qué etapa del proceso de arranque interviene el bootloader (por ejemplo, Windows Boot Manager o GRUB)?",,"Antes del POST, verificando el hardware","Durante el POST, verificando la memoria RAM","Luego del POST, siendo responsable de localizar e iniciar la carga del sistema operativo",Solo se ejecuta si el usuario lo abre manualmente desde el escritorio,,,3
opcion_unica,"Durante el uso normal del sistema operativo, en pantalla aparecen artefactos gráficos (líneas, puntos de colores, distorsiones) que empeoran con el uso prolongado o en tareas exigentes como juegos. ¿Qué componente es más probable que esté fallando?",,El teclado,"La placa de video (GPU), posiblemente por sobrecalentamiento o daño en la memoria de video",El disco rígido,El mouse,,,2
opcion_unica,"En la prueba del clip (paperclip test) para encender una fuente ATX por fuera de la PC, ¿qué pines del conector de 24 pines se deben unir?",,El pin verde (PS_ON) con cualquier pin negro (GND),El pin amarillo (+12V) con el pin rojo (+5V),El pin naranja (+3.3V) con el pin morado (+5VSB),El pin gris (Power Good) con el pin azul (-12V),,,1
opcion_unica,Verdadero o falso: la prueba del clip (paperclip test) garantiza que la fuente de alimentación funciona correctamente bajo carga real conectada a la placa madre.,,Verdadero,Falso,,,,2
opcion_unica,"Verdadero o falso: la línea de 5VSB (standby) de una fuente ATX permanece activa aunque la PC esté apagada, siempre que el cable de alimentación esté conectado a la corriente.",,Verdadero,Falso,,,,1
opcion_unica,"Verdadero o falso: para realizar una prueba de continuidad de un fusible con un multímetro, este debe estar conectado a la corriente eléctrica.",,Verdadero,Falso,,,,2
opcion_unica,Verdadero o falso: el esquema de particionado GPT permite gestionar más de 4 particiones primarias sin necesidad de usar particiones extendidas.,,Verdadero,Falso,,,,1
ordenar,"Ordena las siguientes etapas del proceso de arranque de una PC en la secuencia correcta, del primero al último.",,Pulsación del botón de encendido,La fuente entrega la señal Power Good (PG),POST (Power On Self Test) de la placa madre,Ejecución del bootloader (inicio de la carga del sistema operativo),Carga completa del sistema operativo,,"1,2,3,4,5"
ordenar,"Ordena los pasos correctos para medir con un multímetro el voltaje DC de la línea de +12V en un conector ATX de 24 pines, con la fuente encendida y conectada a la placa madre (bajo carga).",,Seleccionar la función de voltaje DC (V⎓) en el multímetro,Colocar la punta negativa (COM) sobre un pin negro (GND) del mismo conector,Colocar la punta positiva (roja) sobre el pin amarillo (+12V) del conector,Encender la PC dejando la fuente conectada normalmente a la placa madre,Leer el valor mostrado y compararlo con el rango de tolerancia ATX (±5%),,"1,2,3,4,5"
ordenar,Ordena los pasos correctos para realizar una prueba de continuidad de un fusible con un multímetro.,,Desconectar completamente el fusible de cualquier fuente de energía,Seleccionar la función de continuidad/resistencia (Ω) en el multímetro,Colocar una punta de prueba en cada extremo del fusible,Verificar si el multímetro emite un sonido o muestra una resistencia cercana a 0Ω,"Interpretar el resultado: continuidad indica fusible en buen estado, sin continuidad indica fusible quemado",,"1,2,3,4,5"
