tipo,pregunta,imagen,opcion1,opcion2,opcion3,opcion4,opcion5,opcion6,correcta
parrafo,"Explica el proceso completo de arranque de una PC, desde la pulsación del botón de encendido hasta la carga completa del sistema operativo. Menciona el rol de la fuente de alimentación, la placa madre (POST) y el bootloader en cada etapa.",,,,,,,,
parrafo,"Un técnico debe diferenciar entre un equipo que 'no enciende', uno que 'enciende pero no completa el POST' y uno que 'completa el POST pero no bootea el sistema operativo'. Describe qué pruebas y verificaciones realizarías en cada uno de los tres casos para aislar la falla.",,,,,,,,
parrafo,"Explica qué es una fuente de alimentación ATX, qué función cumple dentro de una PC y por qué se dice que convierte corriente alterna (CA) en corriente continua (CC). Menciona además qué es la eficiencia de una fuente y por qué se certifican con estándares como 80 Plus.",,,,,,,,
parrafo,"Explica cómo se calcula la potencia necesaria de una fuente de alimentación para armar una PC, indicando qué componentes se deben tener en cuenta en el cálculo y qué margen de holgura conviene dejar sobre el consumo estimado. Da un ejemplo numérico.",,,,,,,,
parrafo,"Explica el concepto de 'rango de tolerancia' en las tensiones que entrega una fuente ATX, por qué es importante respetarlo, y calcula el rango mínimo y máximo aceptable (en voltios) para la línea de +12V ",,,,,,,,
parrafo,"Explica cómo se configura un multímetro digital para medir un voltaje de corriente continua (DC), qué diferencias existen respecto a configurarlo para medir corriente alterna (AC), y qué sucede si se selecciona una escala o función incorrecta.",,,,,,,,
parrafo,"ESCENARIO: Un usuario reporta que su PC se apaga de forma intermitente y aleatoria, tanto en reposo como durante el uso normal, sin un patrón claro. Indica qué pruebas realizarías sobre la fuente de alimentación y qué otras causas (no relacionadas con la fuente) deberías descartar antes de cerrar el diagnóstico.",,,,,,,,
parrafo,"ESCENARIO: Al medir con el multímetro la línea de 5VSB (standby) de una fuente ATX conectada a la corriente pero con la PC apagada, se obtiene una lectura de 0V. Indica qué significa este resultado, qué componentes podrían estar fallando y qué pasos seguirías para confirmarlo.",,,,,,,,
parrafo,"Compara la 'prueba del clip' (paperclip test) con la medición directa de voltajes con multímetro bajo carga (fuente conectada y encendida en la placa madre) para diagnosticar una fuente ATX. Indica ventajas, desventajas y en qué situación conviene usar cada método.",,,,,,,,
opcion_unica,"¿Cuál de las siguientes fallas es más compatible con un problema de carga del sistema operativo, y no con un problema de POST?",,El equipo no enciende y no hay leds,El equipo emite beeps de memoria RAM al encender,"El equipo completa el POST normalmente pero luego muestra 'Invalid partition table'",La fuente no enciende ni siquiera con la prueba del clip,,,3
opcion_unica,"Durante el POST, ¿cuál es el rol principal de la BIOS/UEFI respecto a la memoria RAM instalada?",,Formatear la memoria antes de cada arranque,Verificar que los módulos estén correctamente reconocidos y funcionando antes de continuar el arranque,Actualizar el firmware de la memoria RAM,Cifrar los datos almacenados en la RAM,,,2
opcion_unica,"Se debe armar una PC cuyo consumo estimado en carga (procesador + placa de video + demás componentes) es de aproximadamente 420W. ¿Cuál sería una elección de potencia de fuente más adecuada, considerando el margen de holgura recomendado?",,"Una fuente de 400W exactos, sin margen","Una fuente de 500-550W, dejando un margen de aproximadamente 20-30%",Una fuente de 1500W como mínimo,No es necesario considerar ningún margen,,,2
opcion_unica,"Según la norma ATX, ¿cuál es el rango aceptable aproximado para la línea de +5V?",,"4,75 V a 5,25 V","3,00 V a 7,00 V","4,00 V a 6,00 V","5,00 V exactos, sin margen",,,1
opcion_unica,"En un conector ATX de 24 pines, ¿qué color de cable corresponde habitualmente a la línea de +3,3V?",,Amarillo,Rojo,Naranja,Morado,,,3
opcion_unica,"Para medir correctamente la continuidad de un fusible con un multímetro, ¿en qué configuración debe estar el equipo y en qué estado debe encontrarse el fusible?",,"Multímetro en modo de voltaje AC, fusible conectado a la corriente","Multímetro en modo de continuidad/resistencia, fusible completamente desconectado de cualquier fuente de energía","Multímetro en modo de amperaje, fusible conectado a la placa madre","Multímetro apagado, fusible conectado a la corriente",,,2
opcion_unica,"Si al medir un voltaje DC con un multímetro se invierten las puntas (la positiva donde debería ir la negativa y viceversa), ¿qué ocurre habitualmente?",,El multímetro se daña de forma irreversible,Se produce un cortocircuito inmediato,El multímetro muestra el mismo valor pero con signo negativo,El multímetro no muestra ningún valor y se apaga solo,,,3
opcion_unica,"¿Qué ocurre si se intenta medir un voltaje conectando el multímetro en paralelo mientras está configurado en modo de medición de corriente (amperímetro)?",,Se obtiene una lectura de voltaje precisa,"Se produce un cortocircuito que puede quemar el fusible interno del multímetro o dañar el circuito",No pasa nada; el multímetro se autoajusta,El multímetro entra automáticamente en modo de continuidad,,,2
opcion_unica,"Una fuente ATX pasa correctamente la prueba del clip (el ventilador gira al puentear PS_ON con GND), pero al conectarla a la placa madre la PC no enciende. ¿Cuál es la conclusión más adecuada?",,"La fuente está garantizada como 100% funcional bajo cualquier condición y el problema es ajeno a ella","La prueba del clip solo confirma que la fuente arranca sin carga; el problema puede estar en la placa madre, el conector o el comportamiento de la fuente bajo carga real, por lo que conviene medir con multímetro bajo carga",Es imposible que la fuente esté fallando,La placa madre nunca puede ser la causa si la fuente enciende con el clip,,,2
ordenar,"Ordena las siguientes etapas del proceso de arranque de una PC en la secuencia correcta, del primero al último.",,Pulsación del botón de encendido,La fuente entrega la señal Power Good (PG),POST (Power On Self Test) de la placa madre,Ejecución del bootloader (inicio de la carga del sistema operativo),Carga completa del sistema operativo,,"1,2,3,4,5"
ordenar,"Ordena los pasos correctos para medir con un multímetro el voltaje DC de la línea de +12V en un conector ATX de 24 pines, con la fuente encendida y conectada a la placa madre (bajo carga).",,Seleccionar la función de voltaje DC (V⎓) en el multímetro,Colocar la punta negativa (COM) sobre un pin negro (GND) del mismo conector,Colocar la punta positiva (roja) sobre el pin amarillo (+12V) del conector,Encender la PC dejando la fuente conectada normalmente a la placa madre,Leer el valor mostrado y compararlo con el rango de tolerancia ATX (±5%),,"1,2,3,4,5"
identificar_imagen,"Observando el diagrama del conector ATX de 24 pines (imagen adjunta), identifica qué color de cable corresponde al pin que transporta la señal Power Good (PWR_OK).",imagen_conector_atx_24_pines.svg,Gris,Verde,Marrón,Morado,,,1
