tipo,pregunta,imagen,opcion1,opcion2,opcion3,opcion4,opcion5,opcion6,correcta
parrafo,"Explica la diferencia entre la organización del almacenamiento en Windows (particiones identificadas con letras de unidad como C:, D:) y en Linux (una única jerarquía de directorios que comienza en la raíz /). Da un ejemplo de cómo se referenciaría una misma ubicación en ambos sistemas.",,,,,,,,
parrafo,"Explica qué es una ruta absoluta y qué es una ruta relativa en Linux, dando un ejemplo de cada una tomando como referencia el directorio /home/usuario/Documentos/.",,,,,,,,
parrafo,"Describe el proceso completo para instalar un programa desde los repositorios oficiales usando apt, explicando qué hace 'sudo apt update' antes de 'sudo apt install' y por qué es recomendable ejecutar ese paso primero.",,,,,,,,
parrafo,"Explica el proceso para instalar manualmente un paquete .deb descargado desde internet usando dpkg, indicando el comando utilizado y qué se debe hacer si aparece un error de dependencias faltantes.",,,,,,,,
parrafo,"Explica qué es una dependencia en el contexto de la instalación de programas en Linux, y por qué apt las resuelve automáticamente mientras que dpkg no lo hace por sí solo.",,,,,,,,
parrafo,"Explica la diferencia entre 'apt update' y 'apt upgrade', indicando qué hace exactamente cada comando y en qué orden conviene ejecutarlos.",,,,,,,,
parrafo,"ESCENARIO: Vas a reinstalar el sistema operativo de tu PC y querés conservar tanto tus archivos personales como la lista de programas que tenías instalados. Además de la carpeta /home, ¿qué otra información convendría respaldar o anotar antes de formatear, y por qué?",,,,,,,,
parrafo,"ESCENARIO: Necesitás instalar la última versión de un programa que en el repositorio oficial de tu distribución está desactualizada, y el desarrollador solo la ofrece como paquete .deb en su sitio web. Explica qué pasos seguirías, qué datos deberías verificar antes de descargarlo, y qué riesgos tiene instalar programas de forma manual en comparación con hacerlo desde los repositorios.",,,,,,,,
parrafo,"Explica brevemente qué tipo de información almacena cada uno de los siguientes directorios del sistema de archivos de Linux (FHS): /etc, /var, /usr y /home.",,,,,,,,
parrafo,"Explica qué es la variable de entorno PATH, qué comando permite ver su contenido, y qué relación tiene con que un comando pueda ejecutarse escribiendo solo su nombre sin indicar la ruta completa.",,,,,,,,
opcion_unica,"¿Cuál es la diferencia principal en la organización del almacenamiento entre Windows y Linux?",,"Windows usa letras de unidad (C:, D:) para cada partición, mientras que Linux integra todo bajo una única jerarquía que empieza en /","No hay ninguna diferencia real entre ambos sistemas","Linux usa letras de unidad y Windows usa un árbol único de directorios","Windows no permite tener más de una partición en un mismo disco",,,1
opcion_unica,"¿Cuál de las siguientes rutas es una ruta RELATIVA?",,/home/usuario/Documentos/informe.pdf,Documentos/informe.pdf,/etc/apt/sources.list,/var/log/syslog,,,2
opcion_unica,"Estando en /home/usuario/Documentos/, ¿a qué directorio te lleva el comando 'cd ..'?",,/home/usuario/,/home/usuario/Documentos/Descargas,/,No hace nada porque '..' no es un comando válido,,,1
opcion_unica,"¿Qué hace exactamente el comando 'sudo apt update'?",,"Actualiza la lista de paquetes disponibles en los repositorios, sin instalar nada","Instala automáticamente las últimas versiones de todos los programas ya instalados","Descarga e instala directamente el programa que se le indique a continuación","Limpia y elimina la caché de paquetes .deb descargados previamente",,,1
opcion_unica,"¿Cuál es la diferencia principal entre usar 'sudo apt install programa' y 'sudo dpkg -i paquete.deb'?",,"apt resuelve las dependencias automáticamente consultando los repositorios, mientras que dpkg solo instala el paquete indicado y no resuelve dependencias por sí solo","No existe ninguna diferencia real entre ambos métodos","dpkg siempre es más rápido y seguro que apt en cualquier situación","apt no permite instalar paquetes con extensión .deb",,,1
opcion_unica,"Si al ejecutar 'sudo dpkg -i programa.deb' aparece un error de dependencias no satisfechas, ¿qué comando conviene ejecutar a continuación para resolverlas?",,sudo apt --fix-broken install,sudo rm -rf /,sudo apt update (y nada más),sudo dpkg --purge programa,,,1
opcion_unica,"¿En qué archivo (o carpeta de archivos) se guarda la lista de repositorios que utiliza apt para buscar programas?",,/etc/apt/sources.list,/etc/hosts,/etc/fstab,/etc/passwd,,,1
opcion_unica,"¿Qué es un PAQUETE en Linux (por ejemplo, un archivo .deb)?",,"Un archivo que agrupa un programa junto con su información necesaria, listo para instalar",Una carpeta de configuración exclusiva del kernel,Un tipo especial de partición del disco,Un comando utilizado para comprimir archivos,,,1
opcion_unica,"¿Qué comando permite ver en qué directorio está instalado un comando o programa determinado (por ejemplo, dónde está el ejecutable de 'python3')?",,which python3,apt show python3,man python3,cat python3,,,1
opcion_unica,"¿Cuál de las siguientes afirmaciones sobre REPOSITORIOS es correcta?",,"Un repositorio es un servidor que almacena paquetes listos para instalar mediante un gestor de paquetes como apt",Un repositorio es una carpeta local donde se guardan los archivos personales del usuario,Un repositorio es un tipo de partición reservada exclusivamente del disco duro,Un repositorio es una copia de seguridad automática que hace el sistema,,,1
ordenar,"Ordena los pasos para instalar un programa desde los repositorios oficiales usando apt, dejando primero la lista de paquetes actualizada.",,Actualizar la lista de paquetes con: sudo apt update,Instalar el programa con: sudo apt install nombre-programa,Confirmar la instalación escribiendo S (o Y) y presionando Enter,Verificar la instalación ejecutando: nombre-programa --version,,,"1,2,3,4"
ordenar,"Ordena los pasos para instalar manualmente un paquete .deb descargado desde internet, incluyendo cómo resolver un posible error de dependencias.",,Descargar el archivo .deb desde el sitio web oficial del programa,Abrir una terminal en la carpeta donde se descargó el archivo,Instalar el paquete con: sudo dpkg -i nombre_programa.deb,"Si aparece un error de dependencias, ejecutar: sudo apt --fix-broken install",Verificar la instalación ejecutando el programa o revisando su versión,,"1,2,3,4,5"
verdadero_falso,"En Linux, todo el sistema de archivos (discos, particiones, dispositivos extraíbles) se organiza dentro de un único árbol jerárquico que comienza en la raíz /, sin usar letras de unidad como en Windows.",,Verdadero,Falso,,,,,1
verdadero_falso,"El comando 'sudo apt upgrade' descarga y actualiza la lista de paquetes disponibles en los repositorios, pero no instala ninguna actualización de los programas.",,Verdadero,Falso,,,,,2
identificar_imagen,"Observa la imagen con la salida del comando 'lsblk'. ¿En qué partición está montada la carpeta personal del usuario (/home)?",images/lsblk_output_examen.svg,sda3,sda2,sda1,sdb1,,,1
