tipo,pregunta,imagen,opcion1,opcion2,opcion3,opcion4,opcion5,opcion6,correcta
parrafo,"Explica cómo funciona el proceso de arranque de una PC indicando sus diferentes estados (No enciende, Enciende sin imagen, POST, Carga del sistema operativo). ¿Qué es el proceso POST y cuál es su función?",,,,,,,,
parrafo,"Indica al menos dos fallas posibles del procesador, dos de la memoria RAM y dos de la fuente de alimentación. Para cada una, explica una posible solución.",,,,,,,,
opcion_unica,"¿En qué estado del proceso de arranque se encuentra una PC si el conector ATX de la placa madre está dañado?",,"No enciende","Enciende y no da imagen","Enciende y muestra un código de error","Carga el sistema operativo",,,1
opcion_unica,"¿En qué estado del proceso de arranque se encuentra una PC si el procesador está dañado?",,"No enciende","Enciende y no da imagen","Enciende y muestra un código de error","Carga normalmente",,,2
opcion_unica,"¿En qué estado del proceso de arranque se encuentra una PC si la memoria secundaria principal (SSD/HDD) está desconectada?",,"No enciende","Enciende y no da imagen","Enciende y muestra un código de error","No presenta fallas",,,3
opcion_unica,"¿En qué estado del proceso de arranque se encuentra una PC si la fecha y hora están desactualizadas?",,"No enciende","Enciende y no da imagen","Enciende y muestra un código de error","Carga normalmente sin advertencias",,,3
opcion_unica,"¿En qué estado del proceso de arranque se encuentra una PC si el ventilador del procesador no es detectado?",,"No enciende","Enciende y no da imagen","Enciende y muestra un código de error","Carga el sistema operativo",,,3
opcion_unica,"¿En qué estado del proceso de arranque se encuentra una PC si la BIOS está dañada?",,"No enciende","Enciende y no da imagen","Enciende y muestra un código de error","Carga normalmente",,,2
parrafo,"ESCENARIO 1: El equipo no enciende ni muestra luces ni sonidos. Se verificó la corriente eléctrica y la conexión. Indica: ¿En qué etapa del proceso de arranque ocurre la falla? ¿Qué componente físico o lógico puede estar fallando? ¿Cómo verificarías o resolverías el problema?",,,,,,,,
parrafo,"ESCENARIO 2: El equipo enciende, pero se escucha una serie de pitidos y la pantalla permanece negra. Anteriormente se había instalado una tarjeta gráfica. Indica: ¿En qué etapa del proceso de arranque ocurre la falla? ¿Qué componente físico o lógico puede estar fallando? ¿Cómo verificarías o resolverías el problema?",,,,,,,,
parrafo,"ESCENARIO 3: El equipo enciende, se observan luces en diferentes componentes, pero la pantalla permanece negra. Indica: ¿En qué etapa del proceso de arranque ocurre la falla? ¿Qué componente físico o lógico puede estar fallando? ¿Cómo verificarías o resolverías el problema?",,,,,,,,
parrafo,"ESCENARIO 4: La PC enciende, los ventiladores giran a máxima velocidad, no hay imagen ni pitidos y luego de un minuto se apaga sola. Indica: ¿En qué etapa del proceso de arranque ocurre la falla? ¿Qué componente físico o lógico puede estar fallando? ¿Cómo verificarías o resolverías el problema?",,,,,,,,
parrafo,"ESCENARIO 5: Al encender la PC aparece el mensaje 'No Boot Device Found' o 'Operating System Not Found'. Indica: ¿En qué etapa del proceso de arranque ocurre la falla? ¿Qué componente físico o lógico puede estar fallando? ¿Cómo verificarías o resolverías el problema?",,,,,,,,
parrafo,"ESCENARIO 6: La PC emite una serie de pitidos largos y continuos al encender y no muestra imagen. Indica: ¿En qué etapa del proceso de arranque ocurre la falla? ¿Qué componente físico o lógico puede estar fallando? ¿Cómo verificarías o resolverías el problema?",,,,,,,,
parrafo,"¿Cómo verificarías el estado de una fuente de alimentación por fuera de la PC? Describe el procedimiento y los elementos necesarios.",,,,,,,,
opcion_unica,"Al medir una fuente ATX se obtienen los siguientes valores: Línea de 12 V: 11,2 V. Línea de 5 V: 5,10 V. ¿Cuál de las siguientes afirmaciones es correcta?",,"Ambas tensiones están dentro del rango permitido.","La línea de 12 V está fuera del rango permitido y la de 5 V está dentro del rango.","La línea de 12 V está dentro del rango y la de 5 V está fuera del rango.","Ambas tensiones están fuera del rango permitido.",,,2
