tipo,pregunta,imagen,opcion1,opcion2,opcion3,opcion4,opcion5,opcion6,correcta
single,"Observa la imagen con la salida de 'lsblk'. Si queres hacer una copia de respaldo de los ARCHIVOS PERSONALES del usuario (documentos, fotos, etc.), ¿que particion deberias copiar?",images/lsblk_output.png,/home (sda3),/boot/efi (sda1),/ (sda2),El pendrive (sdb1),,,/home (sda3)
single,¿Por que normalmente NO es necesario respaldar toda la particion '/' para conservar los archivos personales de un usuario?,,Porque los archivos personales estan en /home y el resto puede reinstalarse,"Porque la particion / nunca contiene datos personales, sino solo archivos temporales del sistema",Porque la particion / siempre esta vacia hasta que se instala algun programa adicional,Porque el sistema operativo se respalda automaticamente cada vez que se apaga la computadora,,,Porque los archivos personales estan en /home y el resto puede reinstalarse
text,Un compañero recien esta aprendiendo Linux y te pregunta: '¿que carpeta debo copiar si quiero hacer un backup antes de formatear mi computadora?'. Respondele con tus palabras.,,,,,,,,"""Debe copiar su carpeta personal dentro de /home (por ejemplo /home/usuario)"
ordenar,Ordena los pasos para hacer una copia de respaldo simple de la carpeta personal del usuario hacia un pendrive que ya esta montado en /media/usuario/PENDRIVE:,,"Verificar que el pendrive este montado, revisando con lsblk o df -h",Ubicarse en la terminal y confirmar la ruta de la carpeta personal: /home/usuario/,Copiar la carpeta con el comando cp -r /home/usuario/ /media/usuario/PENDRIVE/,Verificar que los archivos se copiaron correctamente,,,"""1"
text,Observa la imagen de 'lsblk'. ¿Que columna te permite identificar que sdb es una unidad extraible (removible) y no el disco principal?,images/lsblk_output.png,,,,,,,"""La columna 'RM' (removable). Muestra el valor 1 para sdb"
single,"Observa la imagen con la salida de 'fdisk -l'. ¿Cual de los dos discos es probablemente el pendrive, segun su tamaño y modelo?",images/fdisk_output_basico.png,"/dev/sdb (Kingston DataTraveler 3.0, 14,9 GiB)","/dev/sda (Samsung SSD 860 EVO, 465,8 GiB)",,,,,"""/dev/sdb (Kingston DataTraveler 3.0"
text,"Tienes que instalar Linux en un servidor con 16GB de RAM y SSD de 1TB destinado a hosting web, separando el sistema operativo, los datos de usuario y los logs en particiones distintas. Indica las particiones necesarias con tamaños aproximados, sistema de archivos y punto de montaje.",,,,,,,,"""Un esquema razonable seria: 1) /boot/efi: ~512 MB"
text,"Descargaste un archivo llamado programa.deb en la carpeta /home/usuario/Descargas/. Escribe el comando, usando ruta ABSOLUTA, para instalarlo.",,,,,,,,"""sudo dpkg -i /home/usuario/Descargas/programa.deb"""
single,"Segun el arbol de carpetas de la imagen, estando parado en /home/usuario/Documentos/, ¿cual es la ruta RELATIVA para llegar al archivo instalador.deb (ubicado en /home/usuario/Descargas/)?",images/arbol_carpetas.png,../Descargas/instalador.deb,./Descargas/instalador.deb,/Descargas/instalador.deb,Descargas/instalador.deb,,,../Descargas/instalador.deb
ordenar,"Ordena los pasos y comandos para instalar el programa 'vlc' desde los repositorios, incluyendo verificar si ya esta instalado antes de instalarlo:",,Verificar si el programa ya esta instalado con: apt list --installed | grep vlc,Actualizar la lista de paquetes con: sudo apt update,Buscar el paquete en los repositorios con: apt search vlc,Instalar el programa con: sudo apt install vlc,Verificar la instalacion con: vlc --version,,"""1"
single,¿Que hace exactamente el comando 'sudo apt update'?,,"Actualiza la lista de paquetes disponibles en los repositorios, sin instalar nada",Instala automaticamente las ultimas versiones de todos los programas ya instalados en el sistema,Descarga e instala directamente el programa que se le indique a continuacion,Limpia y elimina la cache de paquetes .deb descargados previamente,,,"""Actualiza la lista de paquetes disponibles en los repositorios"
text,¿Que tipo de informacion contiene el archivo /etc/apt/sources.list?,,,,,,,,"""Contiene la lista de direcciones (URLs) de los repositorios desde donde apt descarga los paquetes"
ordenar,"Ordena los pasos para instalar MANUALMENTE un programa descargando su paquete .deb desde el sitio web oficial, asegurandote de que sea compatible con tu sistema:",,Verificar la arquitectura del procesador con: uname -m (o dpkg --print-architecture),Verificar la version de la distribucion con: cat /etc/os-release (o lsb_release -a),Ingresar al sitio web oficial del programa y descargar el paquete .deb correspondiente a esa arquitectura y version,Instalar el paquete descargado con: sudo dpkg -i nombre_programa.deb,"Si aparecen dependencias faltantes, resolverlas con: sudo apt --fix-broken install",,
text,Menciona al menos dos ventajas de instalar un programa desde los REPOSITORIOS frente a instalarlo de forma manual.,,,,,,,,"""1) apt resuelve automaticamente las dependencias. 2) Los programas de los repositorios pueden actualizarse junto con el sistema y suelen estar revisados por los mantenedores de la distribucion."""
single,¿Que es una DEPENDENCIA en el contexto de la instalacion de programas en Linux?,,Un programa o biblioteca necesario para que otro funcione,Es simplemente un tipo especial de archivo comprimido,Es el nombre oficial del repositorio principal de Ubuntu y sus derivados,Es un permiso especial que se le asigna a un archivo,,,"""Un programa o biblioteca necesario para que otro funcione"""
text,Observa el arbol de carpetas de la imagen (resultado del comando 'tree /home/usuario'). Escribe la RUTA ABSOLUTA del archivo 'foto.jpg'.,images/arbol_carpetas.png,,,,,,,"""/home/usuario/Imagenes/foto.jpg"""
single,"¿Es necesario tener conexion a internet para poder buscar si un programa esta disponible para instalar (por ejemplo, con 'apt search' o revisando los repositorios)?",,Verdadero,Falso,,,,,Falso
single,"Al descargar un paquete .deb manualmente desde un sitio web, ¿que dato es indispensable verificar para asegurarte de que sea compatible con tu sistema?",,La arquitectura del procesador y la version de la distribucion,El color y diseño del logo que aparece en la pagina web de descarga del programa,El idioma exacto en el que esta redactada la pagina web de descarga del programa,La cantidad de descargas que tiene el archivo,,,"""La arquitectura del procesador y la version de la distribucion"""
single,"Estando en /home/usuario/Documentos/, ¿que ruta ABSOLUTA usarías para listar el contenido de Descargas?",,/home/usuario/Descargas/,../Descargas/,./Descargas/,Descargas/,,/home/usuario/Descargas/,
single,"Estando en /home/usuario/Documentos/Trabajo/, ¿cual es la ruta RELATIVA para copiar informe.pdf ubicado en /home/usuario/Documentos/?",,../informe.pdf,../../informe.pdf,./informe.pdf,/home/usuario/Documentos/informe.pdf,,../informe.pdf,
single,¿Que diferencia principal existe entre /home/usuario/Documentos/informe.txt y ../Documentos/informe.txt?,,La primera es absoluta y la segunda es relativa,La primera es relativa y la segunda es absoluta,Ambas son rutas relativas,Ambas son rutas absolutas,,La primera es absoluta y la segunda es relativa,
single,"Si estás ubicado en /home/usuario/Documentos/ y ejecutas cp informe.pdf ../Backup/, ¿a que carpeta se refiere ../Backup/?",,/home/usuario/Backup/,/home/Backup/,/home/usuario/Documentos/Backup/,/Backup/,,/home/usuario/Backup/,
