tipo,pregunta,imagen,opcion1,opcion2,opcion3,opcion4,opcion5,opcion6,correcta
single,"Observa la imagen con la salida de 'lsblk'. Si queres hacer una copia de respaldo de los ARCHIVOS PERSONALES del usuario (documentos, fotos, etc.), ¿que particion deberias copiar?",lsblk_output.png,/home (sda3),/boot/efi (sda1),/ (sda2),El pendrive (sdb1),,,/home (sda3)
single,¿Por que normalmente NO es necesario respaldar toda la particion '/' para conservar los archivos personales de un usuario?,,Porque los archivos personales estan en /home y el resto puede reinstalarse,"Porque la particion / nunca contiene datos personales, sino solo archivos temporales del sistema",Porque la particion / siempre esta vacia hasta que se instala algun programa adicional,Porque el sistema operativo se respalda automaticamente cada vez que se apaga la computadora,,,Porque los archivos personales estan en /home y el resto puede reinstalarse
single,"Antes de reinstalar un sistema operativo, es una buena practica hacer una copia de respaldo (backup) de la carpeta /home del usuario.",,Verdadero,Falso,,,,,Verdadero
single,"Segun la imagen de 'df -h', ¿en que particion (dispositivo) esta montada la carpeta /home?",df_output_basico.png,/dev/sda3,/dev/sda2,/dev/sdb1,/dev/sda1,,,/dev/sda3
text,Un compañero recien esta aprendiendo Linux y te pregunta: '¿que carpeta debo copiar si quiero hacer un backup antes de formatear mi computadora?'. Respondele con tus palabras.,,,,,,,,"Debe copiar su carpeta personal dentro de /home (por ejemplo /home/usuario), ya que ahi se guardan sus documentos, fotos, descargas y configuraciones; el resto del sistema (la particion /) se puede volver a instalar sin perder esos datos."
order,Ordena los pasos para hacer una copia de respaldo simple de la carpeta personal del usuario hacia un pendrive que ya esta montado en /media/usuario/PENDRIVE:,,"Verificar que el pendrive este montado, revisando con lsblk o df -h",Ubicarse en la terminal y confirmar la ruta de la carpeta personal: /home/usuario/,Copiar la carpeta con el comando cp -r /home/usuario/ /media/usuario/PENDRIVE/,Verificar que los archivos se copiaron correctamente,,,"1,2,3,4"
single,Observa la imagen. ¿Cual de los discos mostrados corresponde al ALMACENAMIENTO PRINCIPAL (interno) de la computadora?,lsblk_output.png,sda,sdb,sr0,Ninguno de los anteriores,,,sda
single,Observa la imagen. ¿Cual de los discos mostrados corresponde a un PENDRIVE (unidad extraible)?,lsblk_output.png,sdb,sda,sr0,Ninguno de los anteriores,,,sdb
text,Observa la imagen de 'lsblk'. ¿Que columna te permite identificar que sdb es una unidad extraible (removible) y no el disco principal?,lsblk_output.png,,,,,,,"La columna 'RM' (removable). Muestra el valor 1 para sdb, lo que indica que es un dispositivo extraible, mientras que sda tiene RM en 0."
single,"Observa la imagen con la salida de 'fdisk -l'. ¿Cual de los dos discos es probablemente el pendrive, segun su tamaño y modelo?",fdisk_output_basico.png,"/dev/sdb (Kingston DataTraveler 3.0, 14,9 GiB)","/dev/sda (Samsung SSD 860 EVO, 465,8 GiB)",,,,,"/dev/sdb (Kingston DataTraveler 3.0, 14,9 GiB)"
single,El tamaño y el modelo del disco que se muestran en 'fdisk -l' o 'lsblk' pueden ayudarte a distinguir el disco principal de un pendrive.,,Verdadero,Falso,,,,,Verdadero
single,"Segun la imagen de 'lsblk', ¿en que carpeta quedo montado el pendrive?",lsblk_output.png,/media/usuario/PENDRIVE,/home/usuario/Descargas,/boot/efi/EFI,/mnt/usuario/discos,,,/media/usuario/PENDRIVE
order,Ordena los pasos que un usuario debe seguir para instalar el programa 'gimp' desde los repositorios de Ubuntu:,,sudo apt update,sudo apt install gimp,Confirmar la instalacion escribiendo S y presionando Enter,Verificar que se instalo correctamente ejecutando gimp --version,,,"1,2,3,4"
text,"Tienes que instalar Linux en un servidor con 16GB de RAM y SSD de 1TB destinado a hosting web, separando el sistema operativo, los datos de usuario y los logs en particiones distintas. Indica las particiones necesarias con tamaños aproximados, sistema de archivos y punto de montaje.",,,,,,,,"Un esquema razonable seria: 1) /boot/efi: ~512 MB, sistema de archivos FAT32, montada en /boot/efi (particion de arranque UEFI). 2) swap: ~4 GB, tipo swap (en un servidor con 16 GB de RAM no hace falta mas, salvo que se necesite hibernacion). 3) / (raiz, sistema operativo y programas): ~60-100 GB, ext4, montada en /. 4) /var/log (logs del sistema y del servidor web): ~30-50 GB, ext4, montada en /var/log, separada de / para que un crecimiento excesivo de logs no llene la particion raiz. 5) /home o /var/www (datos de usuario y archivos del sitio web): el espacio restante del disco (aproximadamente 800 GB o mas), ext4, montada en /home o /var/www segun donde se sirvan los sitios. Separar estas particiones evita que un problema en una (por ejemplo logs que crecen sin control) afecte al resto del sistema, y facilita hacer backups o reinstalar el sistema operativo sin tocar los datos ni los logs."
single,"¿Es necesario tener conexion a internet para poder buscar si un programa esta disponible para instalar (por ejemplo, con 'apt search' o revisando los repositorios)?",,Verdadero,Falso,,,,,Verdadero
single,Es necesario usar 'sudo' para instalar programas en Linux porque esa accion requiere permisos de administrador.,,Verdadero,Falso,,,,,Verdadero
order,Ordena los pasos para instalar un programa de forma manual a partir de un paquete .deb PRECOMPILADO descargado desde internet (no se compila desde codigo fuente):,,Descargar el archivo .deb desde el sitio web oficial del programa,Abrir una terminal en la carpeta donde se descargo el archivo,Instalar el paquete con sudo dpkg -i nombre_programa.deb,Verificar la instalacion ejecutando el programa o revisando su version,,,"1,2,3,4"
single,¿Cual es la principal diferencia entre instalar un paquete .deb PRECOMPILADO y compilar un programa desde su codigo fuente?,,El .deb ya esta compilado; el codigo fuente hay que compilarlo antes,No existe ninguna diferencia real entre ambos metodos de instalacion de programas,El codigo fuente siempre se instala mucho mas rapido y facil que un paquete .deb,El paquete .deb jamas requiere permisos de administrador del sistema para instalarse,,,El .deb ya esta compilado; el codigo fuente hay que compilarlo antes
