tipo,pregunta,imagen,opcion1,opcion2,opcion3,opcion4,opcion5,opcion6,correcta
parrafo,"Describe con tus palabras las diferencias entre un problema de encendido, un problema de POST y un problema de carga del sistema operativo. Da un ejemplo de falla típica para cada caso.",,,,,,,,
parrafo,"Nombra los componentes de hardware que intervienen directamente en el proceso de arranque hasta antes de cargar el sistema operativo, indicando brevemente la función de cada uno.",,,,,,,,
parrafo,"ESCENARIO: El equipo enciende, los ventiladores giran normalmente, pero se escucha un único beep largo seguido de dos cortos y la pantalla permanece negra. Indica: ¿En qué etapa del proceso de arranque ocurre la falla? ¿Qué componente físico puede estar fallando? ¿Cómo verificarías o resolverías el problema?",,,,,,,,
parrafo,"ESCENARIO: Un usuario reporta que su PC funcionaba con normalidad, pero luego de una tormenta eléctrica con corte de luz, el equipo dejó de encender por completo: no hay LEDs, ventiladores ni sonidos. Indica qué componente sospecharías primero y qué pruebas realizarías, indicando el orden de diagnóstico.",,,,,,,,
parrafo,"ESCENARIO: La PC enciende y da imagen normalmente, pero al cabo de unos minutos de uso se apaga sola, especialmente cuando el usuario ejecuta juegos o tareas exigentes. ¿Qué componentes podrían estar involucrados? ¿Qué pruebas realizarías para determinar la causa?",,,,,,,,
parrafo,"Una fuente enciende correctamente al realizar la prueba del clip, pero la PC sigue sin encender cuando está conectada a la placa madre. ¿Qué conclusión se puede sacar de este resultado, qué limitación tiene esta prueba y qué se debería revisar a continuación?",,,,,,,
parrafo,"Explica el procedimiento correcto para medir con un multímetro las tensiones de una fuente ATX mientras está encendida y bajo carga, indicando qué precauciones se deben tomar.",,,,,,,,
parrafo,"Explica qué es el MBR, en qué parte del disco se ubica y qué información almacena. ¿Qué puede ocurrir si el MBR se corrompe?",,,,,,,
parrafo,Explica qué es la tabla de particiones GPT y menciona al menos dos ventajas que tiene frente al esquema MBR. Relaciona además GPT con el modo de arranque UEFI.,,,,,,,,
parrafo,"Explica qué función cumple el bootloader, por ejemplo Windows Boot Manager o GRUB, dentro del proceso de arranque y en qué etapa interviene respecto del POST y de la carga completa del sistema operativo.",,,,,,,,
opcion_unica,¿Cuál es la función principal del proceso POST (Power On Self Test)?,,Cargar el sistema operativo desde el disco,Verificar el funcionamiento básico del hardware antes de iniciar el sistema operativo,Actualizar los drivers de los dispositivos conectados,Realizar copias de seguridad automáticas,,,2
opcion_unica,"Durante el POST, ¿cuál de los siguientes componentes es fundamental para que el sistema pueda continuar con el proceso de arranque?",,Disco rígido,Impresora,Procesador,Teclado,,,3
opcion_unica,¿En qué estado del proceso de arranque se encuentra una PC si uno de los módulos de memoria RAM está flojo en su zócalo y el equipo emite códigos de error o beeps?,,No necesariamente inicia correctamente el POST y puede quedar sin imagen,Carga el sistema operativo con bajo rendimiento,Carga el sistema operativo sin ningún problema,El problema corresponde exclusivamente al disco,,,1
opcion_unica,"Una PC completa correctamente el POST, pero el cable SATA de datos del disco de arranque está desconectado. ¿Qué situación es más probable?",,La PC no recibe energía,La PC no puede completar el POST,Aparece un mensaje indicando que no se encuentra un dispositivo de arranque,El procesador deja de funcionar,,,3
opcion_unica,¿Qué función cumple principalmente la señal Power Good (PG) de una fuente ATX?,,Indicar que las tensiones principales de la fuente se encuentran estabilizadas y dentro de condiciones adecuadas para que el sistema continúe,Proporcionar directamente energía al disco rígido,Activar exclusivamente la memoria RAM,Iniciar el sistema operativo,,,1
opcion_unica,"En una prueba del clip (paperclip test) de una fuente ATX, ¿qué se debe puentear?",,PS_ON con GND,+12 V con +5 V,"+3,3 V con +5 VSB",Power Good con -12 V,,,1
opcion_unica,"Una fuente ATX enciende durante la prueba del clip, pero la PC no enciende cuando la fuente se conecta a la placa madre. ¿Cuál es la interpretación más adecuada?",,La fuente está comprobada como totalmente funcional,La prueba demuestra únicamente que la fuente puede iniciar bajo esa condición; todavía deben comprobarse sus tensiones y su funcionamiento bajo carga,El disco rígido está necesariamente dañado,El sistema operativo está corrupto,,,2
opcion_unica,"Según la especificación ATX, ¿cuál es el margen de tolerancia habitual para la línea de +12 V?",,±1 %,±5 %,±10 %,±20 %,,,2
opcion_unica,"Al medir con un multímetro la línea de +5 V de una fuente ATX se obtiene una lectura de 4,60 V. ¿Qué conclusión es la más adecuada?",,El valor está dentro del rango normal,El valor está por debajo del rango de tolerancia y la fuente debe investigarse,El valor es excelente y no requiere revisión,Corresponde necesariamente a la línea 5VSB,,,2
opcion_unica,Una PC con placa de video dedicada no muestra imagen. La placa madre dispone de salida de video integrada. ¿Cuál es una estrategia adecuada para aislar si la falla está relacionada con la GPU dedicada?,,Formatear el disco rígido,"Retirar la placa de video dedicada y probar la salida de video integrada, si el procesador/placa madre la soporta",Cambiar el sistema operativo,Actualizar los controladores de red,,,2
