tipo,pregunta,imagen,opcion1,opcion2,opcion3,opcion4,opcion5,opcion6,correcta
parrafo,"¿Qué es una memoria RAM? ¿Cuál es su función?",,,,,,,,
parrafo,"Explique 2 paramaetros de rendimiento y 2 parametros de compatibilidad de una Memoria RAM",,,,,,,,
parrafo,"Dadas las siguientes memorias RAM: Memoria Patriot Signature Line 16 GB (2×8 GB) DDR5-5600 CL40 UDIMM 1.35 V y Memoria ADATA SoDIMM DDR4 16 GB 3200 MHz CL22 1.2 V. Indica cuáles características son tenidas en cuenta para la compatibilidad con la placa madre y cuáles influyen en el rendimiento.",,,,,,,,
parrafo,"Indique al menos dos fallas relacionadas con la memoria RAM y dos fallas con el procesador. Explique cómo diagnosticaría y solucionaría cada una.",,,,,,,,
opcion_unica,"¿Qué chipset de una placa madre proporciona información acerca de las interfaces y versiones soportadas de SATA, USB, PCI Express, audio y red?",,"Chipset Norte","Chipset Sur (PCH)","BIOS/UEFI","Controlador de memoria",,,2
opcion_unica,"Según sus especificaciones, la placa madre Gigabyte Z390 AORUS Master pertenece a:",,"Gama básica","Gama media","Gama alta (entusiasta)","Servidor",,,3
opcion_unica,"La Gigabyte Z390 AORUS Master es compatible principalmente con procesadores Intel Core de:",,"13.ª y 14.ª generación","8.ª y 9.ª generación","Ultra de 2 generación","Ryzen Serie 3000 y 4000",,,2
ordenar,"Ordene los siguientes componentes según la letra con la que aparecen identificados en la imagen (de A a F).","../images/placama.png",Socket LGA1151,Ranuras de memoria RAM,Ranuras PCI Express x16,Ranura PCI Express x1,Conectores M.2,Conectores SATA
ordenar,"Ordene los siguientes componentes según la letra con la que aparecen identificados en la imagen (de G a M).","../images/placama.png",Conector ATX 24 pines,Conector EPS CPU 8 pines,Chipset Intel Z390,Panel frontal,Panel trasero,Batería CMOS,Headers para ventiladores
parrafo,"Dada la siguiente placa madre: Gigabyte Z390 AORUS Master (ATX, Socket LGA1151, Chipset Intel Z390, 4 bancos DDR4, hasta 64 GB, DDR4 4133+ MHz, 3 M.2, 6 SATA, PCIe x16/x4/x1). Responda: a) ¿Qué procesadores son compatibles? b) ¿Cuántos módulos de memoria RAM pueden instalarse y cuál es la capacidad máxima por módulo y total? c) ¿Qué otras especificaciones deben considerarse para comprar memoria RAM compatible? d) ¿Es posible agregar tarjetas de expansión? ¿Cuáles y en qué ranuras?",,,,,,,,
