tipo,pregunta,imagen,opcion1,opcion2,opcion3,opcion4,opcion5,opcion6,correcta
parrafo,"Describe con tus palabras las diferencias entre un problema de encendido, un problema de POST y un problema de carga del sistema operativo. Da un ejemplo de falla típica para cada caso.",,,,,,,
parrafo,¿Qué es la señal Power Good (PG) dentro del proceso de arranque? ¿Qué ocurre si la fuente no la entrega correctamente?,,,,,,,
parrafo,Explica qué información puede brindar un beep code (código de pitidos) durante el POST y por qué es importante conocer el fabricante de la BIOS para interpretarlo correctamente.,,,,,,,
opcion_unica,¿Cuál es la función principal del proceso POST (Power On Self Test)?,,Cargar el sistema operativo desde el disco,Verificar el funcionamiento básico del hardware antes de iniciar el sistema operativo,Actualizar los drivers de los dispositivos conectados,Realizar copias de seguridad automáticas,,,2
opcion_unica,"Durante el POST, ¿cuál es habitualmente el primer componente que se verifica?",,La memoria RAM,El disco rígido,El procesador,La placa de video,,,3
opcion_unica,¿Qué señal envía la fuente de alimentación a la placa madre para indicar que las tensiones son estables y se puede iniciar el arranque?,,Clock Signal,Power Good (PG),Reset Signal,Standby Signal,,,2
opcion_unica,"¿En qué estado del proceso de arranque se encuentra una PC si al encenderla no se escucha ningún beep, no giran los ventiladores y no hay ningún led encendido?",,No enciende,Enciende y no da imagen,Enciende y muestra un código de error,Carga el sistema operativo,,,1
opcion_unica,"¿En qué estado del proceso de arranque se encuentra una PC si los ventiladores giran, los leds encienden, pero no se escucha ningún beep ni se muestra nada en pantalla?",,No enciende,Enciende y no da imagen,Enciende y muestra un código de error,Carga el sistema operativo,,,2
opcion_unica,¿En qué estado del proceso de arranque se encuentra una PC si se escucha un patrón de beeps y no se muestra imagen en pantalla?,,No enciende,Enciende y no da imagen,Enciende y muestra un código de error,Carga el sistema operativo,,,3
parrafo,"Nombra los componentes de hardware que intervienen directamente en el proceso de arranque hasta antes de cargar el sistema operativo, indicando brevemente la función de cada uno.",,,,,,,
opcion_unica,¿Cuál de los siguientes componentes NO interviene directamente en el proceso de POST?,,Memoria RAM,Placa de video,Impresora,Procesador,,,3
opcion_unica,"Si la batería CMOS de la placa madre está agotada, ¿cuál de los siguientes síntomas es más probable que ocurra?",,La PC no enciende bajo ninguna circunstancia,La fecha y hora se reinician y puede aparecer un mensaje de configuración de BIOS al arrancar,La fuente de alimentación se quema,El disco rígido deja de ser reconocido de forma permanente,,,2
opcion_unica,¿En qué estado del proceso de arranque se encuentra una PC si uno de los módulos de memoria RAM está flojo en su zócalo?,,No enciende,Enciende y muestra un código de error o beeps de RAM,Carga el sistema operativo con bajo rendimiento,Carga el sistema operativo sin ningún problema,,,2
opcion_unica,¿En qué estado del proceso de arranque se encuentra una PC si el cable SATA de datos del disco de arranque está desconectado?,,No enciende,Enciende y no da imagen,Aparece un mensaje de 'No Boot Device Found' luego del POST,Carga el sistema operativo normalmente,,,3
parrafo,"ESCENARIO: El equipo enciende, los ventiladores giran normalmente, pero se escucha un único beep largo seguido de dos cortos y la pantalla permanece negra. Indica: ¿En qué etapa del proceso de arranque ocurre la falla? ¿Qué componente físico puede estar fallando? ¿Cómo verificarías o resolverías el problema?",,,,,,,
parrafo,"ESCENARIO: La PC enciende con normalidad, pero cada vez que se reinicia pierde la fecha y hora del sistema y solicita configurar nuevamente la BIOS. Indica: ¿En qué etapa del proceso de arranque ocurre la falla? ¿Qué componente puede estar fallando? ¿Cómo resolverías el problema?",,,,,,,
parrafo,"ESCENARIO: Al encender la PC, esta se apaga y se enciende repetidamente en ciclos de un par de segundos, sin llegar nunca a mostrar imagen (fenómeno conocido como 'reinicios en bucle'). Indica: ¿En qué etapa del proceso de arranque ocurre la falla? ¿Qué componentes podrían estar involucrados? ¿Cómo diagnosticarías el problema paso a paso?",,,,,,,
parrafo,"ESCENARIO: Un usuario reporta que su PC funcionaba con normalidad, pero luego de una tormenta eléctrica con corte de luz, el equipo dejó de encender por completo: no hay leds, ni ventiladores, ni sonidos. Indica: ¿Qué componente sería el primero en sospechar? ¿Qué pruebas realizarías y en qué orden?",,,,,,,
parrafo,"ESCENARIO: La PC enciende y da imagen normalmente, pero al cabo de unos minutos de uso se apaga sola sin mostrar ningún mensaje de error, especialmente cuando el usuario ejecuta juegos o tareas exigentes. Indica: ¿En qué etapa del proceso de arranque ocurre la falla? ¿Qué componentes podrían estar involucrados? ¿Qué pruebas realizarías?",,,,,,,
opcion_unica,"Un usuario indica que su PC no enciende, pero al tocar la fuente de alimentación nota un leve olor a quemado. ¿Cuál es el primer paso recomendado?",,Reemplazar la memoria RAM,"Desconectar la fuente de la PC y de la corriente, e inspeccionarla/probarla por separado antes de continuar",Actualizar la BIOS,Formatear el disco rígido,,,2
opcion_unica,Una PC no enciende y al revisar se detecta que el led de la placa madre (power led onboard) tampoco enciende aunque el cable de alimentación está bien conectado a la pared. ¿Qué se debe verificar primero?,,El disco rígido,La tarjeta de red,La fuente de alimentación y sus conexiones (24 pines y 4/8 pines de CPU),La unidad de DVD,,,3
parrafo,Describe paso a paso el procedimiento para realizar la 'prueba del clip' (paperclip test) para verificar si una fuente ATX enciende por fuera de la PC. Menciona qué pines del conector de 24 pines se deben puentear y qué precauciones de seguridad se deben tener.,,,,,,,
parrafo,"Una fuente enciende correctamente al realizar la prueba del clip (el ventilador gira), pero la PC sigue sin encender cuando está conectada a la placa madre. ¿Qué conclusión se puede sacar de este resultado y qué se debería revisar a continuación?",,,,,,,
opcion_unica,"En la prueba del clip (paperclip test) para encender una fuente ATX por fuera de la PC, ¿qué pines del conector de 24 pines se deben unir?",,El pin verde (PS_ON) con cualquier pin negro (GND),El pin amarillo (+12V) con el pin rojo (+5V),El pin naranja (+3.3V) con el pin morado (+5VSB),El pin gris (Power Good) con el pin azul (-12V),,,1
opcion_unica,"Al realizar la prueba del clip, el ventilador de la fuente gira con normalidad. ¿Qué garantiza realmente este resultado?",,Que todas las tensiones de salida están dentro del rango correcto bajo carga,"Únicamente que el circuito de encendido básico de la fuente funciona, sin garantizar que los voltajes sean correctos bajo carga",Que la placa madre no tiene fallas,Que el disco rígido funciona correctamente,,,2
opcion_unica,¿Cuál de las siguientes es una precaución de seguridad correcta antes de realizar la prueba del clip en una fuente ATX?,,Realizarla con la fuente conectada a la placa madre para mayor precisión,"Verificar que no haya líquidos cerca, usar un clip aislado y evitar tocar los contactos metálicos con las manos húmedas",Abrir la fuente y tocar los capacitores internos antes de la prueba,Realizar la prueba con la fuente sumergida parcialmente en agua para enfriarla,,,2
parrafo,Indica cuáles son las tensiones estándar que debe entregar una fuente ATX en su conector principal de 24 pines y cuál es el margen de tolerancia aceptado para cada una según la norma ATX.,,,,,,,
parrafo,"Explica el procedimiento correcto para medir con un multímetro las tensiones de una fuente ATX mientras está encendida y bajo carga (conectada a la placa madre), indicando qué precauciones se deben tomar.",,,,,,,
opcion_unica,"Según la norma ATX, ¿cuál es el margen de tolerancia habitual permitido para la línea de +12 V?",,±1%,±5%,±10%,±20%,,,2
opcion_unica,"Al medir con un multímetro la línea de +5 V de una fuente ATX se obtiene una lectura de 4,60 V. ¿Qué se puede concluir?",,El valor está dentro del rango normal de tolerancia,El valor está fuera del rango de tolerancia (por debajo del mínimo aceptable) y la fuente debería considerarse sospechosa,El valor es excelente y no requiere revisión,"El valor corresponde a la línea de standby, no a la de +5V principal",,,2
opcion_unica,"Para medir el voltaje de la línea de +3,3 V en un conector ATX de 24 pines con un multímetro, ¿dónde se debe colocar la punta de prueba negativa (COM)?",,En cualquier pin negro (GND) del mismo conector,"En el pin naranja de 3,3V",En el conector de 4 pines del procesador,No es necesario usar la punta negativa,,,1
opcion_unica,"Al medir la línea de 5VSB (standby) de una fuente ATX con la PC apagada pero el cable de alimentación conectado a la corriente, ¿qué valor debería obtenerse aproximadamente?",,"0 V, ya que la fuente está completamente apagada","Cerca de 5 V, porque esta línea permanece activa aunque la PC esté apagada",12 V constantes,"Un valor variable entre 0 y 3,3 V",,,2
opcion_unica,"Una fuente ATX entrega en la línea de 12V un valor de 13,4 V de forma sostenida. ¿Qué se debería concluir y qué riesgo implica?",,Es un valor normal que no representa riesgo alguno,El valor está por encima del rango de tolerancia permitido y puede dañar componentes sensibles como el disco rígido o la placa de video,Es un valor bajo que indica que la fuente está fallando por falta de potencia,"Ese valor solo se mide en fuentes de laptop, no aplica a PC de escritorio",,,2
parrafo,"Menciona al menos tres síntomas que puede presentar una PC cuando la causa raíz es una mala alimentación eléctrica (fuente, cables o conectores), diferenciándolos de síntomas típicos de fallas de RAM o procesador.",,,,,,,
parrafo,¿Qué es un fusible dentro de una fuente de alimentación y cuál es su función? Explica cómo se realiza una prueba de continuidad de fusible con un multímetro y qué significa un resultado de continuidad abierta.,,,,,,,
parrafo,"¿Qué señales físicas en un conector de alimentación (ya sea de la fuente hacia la placa madre, o hacia un disco/GPU) pueden indicar una mala conexión o daño, y qué relación tienen con fallas intermitentes en el equipo?",,,,,,,
opcion_unica,"Una fuente de alimentación no enciende en absoluto, ni siquiera el ventilador se mueve al aplicar la prueba del clip, y no hay ningún led encendido. ¿Qué componente interno conviene revisar primero mediante prueba de continuidad?",,El fusible interno de la fuente,La memoria RAM,El disco rígido,La placa de video,,,1
opcion_unica,"Para realizar una prueba de continuidad de un fusible con un multímetro, ¿en qué condición debe estar el componente a medir?",,Conectado y encendido a la corriente eléctrica,Completamente desconectado de cualquier fuente de energía,Únicamente conectado en modo standby,"No importa el estado, se puede medir en cualquier momento",,,2
opcion_unica,"Al hacer una prueba de continuidad sobre un fusible con el multímetro en modo continuidad/ohmios, este no emite el sonido característico y marca 'OL' (circuito abierto). ¿Qué indica este resultado?",,El fusible está en buen estado y conduce correctamente,El fusible está quemado/abierto y debe ser reemplazado,El multímetro está descalibrado y debe repetirse la prueba,El resultado indica que la fuente tiene sobretensión,,,2
opcion_unica,"Una PC presenta apagados intermitentes y aleatorios, sobre todo al mover o golpear levemente el gabinete. Al inspeccionar se observan pines del conector ATX ligeramente doblados y con marcas oscuras. ¿Qué se debería sospechar?",,Una falla de software del sistema operativo,"Un mal contacto o conexión defectuosa en el conector de alimentación, que debería verificarse con continuidad y reemplazar el conector o cable si es necesario",Una falla exclusiva de la memoria RAM,Un virus en el sistema,,,2
opcion_unica,¿Cuál de los siguientes síntomas es más característico de un problema de alimentación (fuente/cables/conectores) y no de un componente lógico como el sistema operativo?,,Pantallas azules aleatorias solo dentro de una aplicación específica,"Apagados o reinicios repentinos bajo carga, sin mensajes de error, junto con leds parpadeantes",Lentitud al abrir el navegador de internet,Errores de ortografía en un documento de texto,,,2
opcion_unica,"Al revisar el cable de alimentación (cable de tres patas que va del tomacorriente a la fuente), se sospecha que está dañado internamente aunque visualmente parece intacto. ¿Cómo se puede confirmar esta sospecha?",,"Midiendo continuidad entre los extremos del cable con un multímetro, estando desconectado de la corriente",Conectándolo a la corriente y tocando los extremos metálicos con las manos,Calentándolo con un secador de pelo,Sumergiéndolo en agua para ver si hace burbujas,,,1
opcion_unica,¿En qué estado del proceso de arranque se encuentra una PC si el fusible interno de la fuente está quemado?,,No enciende,Enciende y no da imagen,Enciende y muestra un código de error,Carga el sistema operativo con lentitud,,,1
