tipo,pregunta,imagen,opcion1,opcion2,opcion3,opcion4,opcion5,opcion6,correcta
verdadero_falso,"El factor de producción llamado ""Tecnología"" es el más nuevo en sumarse a la economía y ayuda a que los negocios produzcan mucho más rápido.",,,,,,,,verdadero
verdadero_falso,Los niveles de gestión en una organización se dividen en dos: estratégico y operativo.,,,,,,,,falso
verdadero_falso,Un horno de panadería sirve como recurso material de la empresa y también como factor de producción de tipo capital.,,,,,,,,verdadero
verdadero_falso,"Las personas que trabajan atendiendo al público en un negocio forman parte del factor de producción llamado ""Trabajo"".",,,,,,,,verdadero
opcion_unica,Completá: Los recursos de la empresa son elementos más ______ porque pertenecen a un negocio en particular y no a todos por igual.,,planificar,específicos,capital,estratégico,,,2
opcion_unica,"Completá: La primera etapa del ciclo administrativo consiste en ______, es decir, definir qué se va a hacer y cómo lograrlo.",,planificar,específicos,capital,estratégico,,,1
opcion_unica,"Completá: Las máquinas, herramientas y computadoras que usan los trabajadores forman parte del factor de producción llamado ______.",,planificar,específicos,capital,estratégico,,,3
opcion_unica,Completá: El nivel ______ de la pirámide organizacional está integrado por los directores o autoridades máximas que piensan a largo plazo.,,planificar,específicos,capital,estratégico,,,4
opcion_unica,El tiempo y esfuerzo que los ingenieros usan para diseñar un auto nuevo en la fábrica. ¿A qué factor de producción corresponde?,,Factor Trabajo,Factor Capital,Factor Tierra,,,,1
opcion_unica,La máquina automática que arma las piezas y ensambla los vehículos. ¿A qué factor de producción corresponde?,,Factor Trabajo,Factor Capital,Factor Tierra,,,,2
opcion_unica,"El acero, el caucho y los recursos naturales que se usan para hacer las llantas. ¿A qué factor de producción corresponde?",,Factor Trabajo,Factor Capital,Factor Tierra,,,,2
opcion_unica,"Cosas exclusivas que un negocio posee o controla, como el dinero en caja o su marca registrada. ¿A qué concepto corresponde?",,Factores de Producción,Recursos de la Empresa,,,,,2
opcion_unica,Un kiosquero de la Avenida Lafinur cuenta el dinero que tiene en su caja al terminar el día para saber cuánto ganó. ¿Qué tipo de recurso está usando?,,Recurso Humano,Recurso Financiero,Recurso Intangible,,,,2
opcion_unica,Una heladería artesanal cuida mucho el nombre y el logo de su marca para que la gente del centro los reconozca rápido. ¿Qué clase de recurso es?,,Recurso Material,Recurso Financiero,Recurso Intangible,,,,3
opcion_unica,"Cuando un gerente de un local de comidas rápidas revisa al final del día si se vendió la cantidad de hamburguesas planeada, ¿qué función administrativa está aplicando?",,Planificar,Organizar,Controlar,,,,3
opcion_multiple,"El dueño de una panadería frente a la Plaza Pringles compra hornos nuevos para cocinar mejor y compró 20 bolsas de harina, 15 maples de huevos y 100 litros de leche larga vida. Dentro de los factores productivos, esos elementos comprados son:",,El factor Trabajo,El factor Capital,El factor Tierra,,,,2|3
opcion_unica,"Si un grupo de amigos piensa hacer una fiesta en el colegio para juntar dinero para la ropa de la promo, algunos se encargan de averiguar a qué precio y qué bebidas se van a vender, y otros hablan con un profe para que los ayude a calcular el precio de las entradas si quieren reunir el monto de dinero que tienen que pagar. Esto corresponde a la función de:",,Organizar (distribuir tareas y recursos),Controlar las ventas,Planificar,,,,3
opcion_unica,"La harina, el agua y la levadura que un panadero utiliza cada mañana en su negocio son considerados:",,Recursos materiales e insumos específicos de esa panadería,El factor intangible de la empresa,Recursos exclusivamente financieros,,,,1
opcion_unica,Una peluquería del barrio Cerro de la Cruz pide un préstamo al banco para comprar espejos nuevos. Ese dinero recibido se llama:,,Recurso Financiero,Recurso Humano directo,Factor Tierra puro,,,,1
opcion_unica,¿Cuál es la diferencia principal entre los factores de producción y los recursos de una empresa?,,Los recursos son universales y los factores son solo de una empresa.,"Los factores de producción son las categorías generales y básicas, mientras que los recursos son las cosas específicas que posee o controla un negocio en particular.",No hay ninguna diferencia entre ambos términos en la economía.,,,,2
